features,mean,sigma
425,-0.0321658,0.628625
426,-0.0248479,0.642232
427,-0.0692009,0.661145
428,-0.0914712,0.640155
429,-0.116449,0.652413
430,0.000310921,0.657548
431,-0.0875241,0.644307
432,-0.0708205,0.666705
433,-0.12214,0.663505
434,-0.0514349,0.695374
435,-0.102566,0.657726
436,-0.0548001,0.657493
437,-0.117021,0.663263
438,-0.0422659,0.673523
439,-0.0827948,0.657416
440,-0.0903205,0.659226
441,-0.10404,0.670734
442,-0.0974024,0.652543
443,-0.0445223,0.668777
444,-0.0963811,0.686346
445,-0.0617352,0.674572
446,-0.0752412,0.661305
447,-0.0573294,0.680966
448,-0.0508436,0.684517
449,-0.0742592,0.67366
450,-0.0678786,0.693464
451,-0.0992897,0.701396
452,-0.0915896,0.692949
453,-0.0808102,0.693722
454,-0.0660982,0.719664
455,-0.156668,0.709285
456,-0.0562131,0.715936
457,-0.0712097,0.675265
458,-0.101153,0.683919
459,-0.112439,0.709184
460,-0.0513412,0.698356
461,-0.106682,0.703548
462,-0.0622794,0.715987
463,-0.0535421,0.719316
464,-0.040731,0.745936
465,-0.0227161,0.719818
466,-0.124078,0.734934
467,-0.0721751,0.719586
468,-0.0717473,0.734749
469,-0.0955235,0.744072
470,-0.130873,0.757768
471,-0.0645428,0.736549
472,-0.0402903,0.73567
473,-0.0812024,0.768793
474,-0.0891141,0.758728
475,-0.0809239,0.75118
476,-0.0966535,0.751289
477,-0.104541,0.730798
478,-0.0538379,0.774084
479,-0.0663669,0.734714
480,-0.056639,0.755916
481,-0.110491,0.786914
482,-0.0804083,0.766843
483,-0.10181,0.777041
484,-0.153778,0.770708
485,-0.129819,0.780429
486,-0.0873871,0.774399
487,-0.0139604,0.740085
488,-0.223669,0.784327
489,-0.141296,0.793672
490,-0.125201,0.744977
491,-0.160517,0.779218
492,-0.101094,0.802864
493,-0.111979,0.775055
494,-0.159983,0.787023
495,-0.15041,0.805064
496,-0.106876,0.799984
497,-0.0605736,0.847966
498,-0.20598,0.80236
499,-0.118001,0.784047
500,-0.117712,0.823482
501,-0.170252,0.832088
502,-0.111038,0.82178
503,-0.185563,0.79416
504,-0.0706953,0.816024
505,-0.0423472,0.838082
506,-0.081873,0.837858
507,-0.114519,0.793233
508,-0.111715,0.814916
509,-0.119973,0.807323
510,-0.0709449,0.865353
511,-0.133344,0.840767
512,-0.0990976,0.890491
513,-0.0721987,0.914199
514,-0.0995069,0.899608
515,-0.229144,0.859772
516,-0.107494,0.864518
517,-0.129773,0.850772
518,-0.114717,0.951465
519,-0.168708,0.894437
520,-0.196425,0.8982
521,-0.0527632,0.908156
522,-0.114587,0.914367
523,-0.216052,0.901116
524,-0.0941429,0.929
525,-0.163716,0.941024
526,-0.177812,0.899101
527,-0.0860085,0.886764
528,-0.138591,0.953207
529,-0.146271,0.937466
530,-0.269233,0.943708
531,-0.157405,0.940913
532,-0.104156,0.899816
533,-0.160605,0.980628
534,-0.09837,0.927036
535,0.00928835,0.970339
536,-0.123896,1.00538
537,-0.148301,0.959207
538,-0.142633,1.00479
539,-0.090877,0.971744
540,-0.129418,0.99326
541,-0.234569,1.02141
542,-0.159459,1.06584
543,-0.182096,0.996469
544,-0.209208,1.05752
545,-0.17928,1.03409
546,-0.0983212,1.00473
547,-0.158359,1.01295
548,-0.176766,0.989137
549,-0.220044,0.982437
550,-0.132061,0.996426
551,-0.18586,0.986954
552,-0.125165,0.990433
553,-0.217865,1.05822
554,-0.139296,0.993245
555,-0.170346,1.06634
556,-0.113817,1.03559
557,-0.16959,0.998998
558,-0.149844,1.00688
559,-0.0274283,1.08215
560,-0.146518,1.09967
561,-0.0737975,1.12033
562,-0.10504,1.0391
563,-0.0173276,1.06797
564,-0.302402,1.06885
565,-0.22824,1.05741
566,-0.125549,1.08434
567,-0.193716,1.05577
568,-0.0976608,1.06123
569,-0.182146,1.11143
570,-0.206763,1.0846
571,-0.107863,1.10796
572,-0.198517,1.09345
573,-0.140021,1.08975
574,-0.195253,1.08245
575,-0.253837,1.13563
576,-0.282945,1.14438
577,-0.132743,1.0991
578,-0.204131,1.12133
579,-0.151444,1.14056
580,-0.0607602,1.12208
581,-0.336629,1.19423
582,-0.0793718,1.11189
583,-0.169041,1.15264
584,-0.128636,1.1327
585,-0.255115,1.10427
586,-0.17932,1.11019
587,-0.0861182,1.16276
588,-0.162647,1.15246
589,-0.120974,1.15294
590,-0.152951,1.161
591,-0.0855616,1.15219
592,-0.0996938,1.20681
593,-0.120394,1.15128
594,-0.194545,1.20133
595,-0.175991,1.17546
596,-0.160339,1.16646
597,-0.150149,1.17252
598,-0.229106,1.19539
599,-0.0976392,1.19543
600,-0.111027,1.2051
601,-0.193772,1.16889
602,-0.177655,1.18854
603,-0.177133,1.13432
604,-0.160979,1.22581
605,-0.179709,1.23051
606,-0.208732,1.22094
607,-0.262339,1.2278
608,-0.233775,1.21777
609,-0.0840703,1.22069
610,-0.181258,1.21841
611,-0.245152,1.23133
612,-0.338671,1.24439
613,-0.191588,1.22271
614,-0.101666,1.25031
615,-0.172525,1.2092
616,-0.0954678,1.19008
617,-0.228285,1.2474
618,-0.236953,1.25416
619,-0.240732,1.2389
620,-0.151766,1.28925
621,-0.0738026,1.29742
622,-0.198447,1.21711
623,-0.128434,1.27148
624,-0.228935,1.26482
625,-0.130786,1.2629
626,-0.198623,1.2664
627,-0.265666,1.28298
628,-0.120506,1.29499
629,-0.143866,1.27891
630,-0.191462,1.24944
631,-0.313288,1.30767
632,-0.0707073,1.28752
633,-0.256152,1.28693
634,-0.222895,1.28476
635,-0.255936,1.30469
636,-0.220619,1.26954
637,-0.268901,1.30606
638,-0.152233,1.33552
639,-0.174966,1.31139
640,-0.169092,1.32341
641,-0.104632,1.30308
642,-0.183281,1.33889
643,-0.120193,1.329
644,-0.251344,1.32831
645,-0.176987,1.35339
646,-0.199551,1.31568
647,-0.303778,1.33104
648,-0.196756,1.34431
649,-0.259285,1.3158
650,-0.244766,1.32667
651,-0.213116,1.38292
652,-0.273599,1.33096
653,-0.177193,1.36335
654,-0.229434,1.35265
655,-0.110955,1.38681
656,-0.223598,1.35584
657,-0.208062,1.34476
658,-0.195931,1.32948
659,-0.254382,1.32915
660,-0.21176,1.37958
661,-0.193052,1.36307
662,-0.091747,1.41922
663,-0.204754,1.37387
664,-0.176657,1.37101
665,-0.304218,1.39319
666,-0.16874,1.38512
667,-0.190093,1.39926
668,-0.236155,1.46086
669,-0.124874,1.42802
670,-0.19369,1.40105
671,-0.244197,1.42976
672,-0.220922,1.41445
673,-0.240651,1.4725
674,-0.296095,1.41911
675,-0.265017,1.37811
676,-0.428577,1.4422
677,-0.2644,1.40857
678,-0.232593,1.36185
679,-0.243318,1.3955
680,-0.101317,1.40799
681,-0.108468,1.44646
682,-0.193896,1.45529
683,-0.368618,1.48233
684,-0.245276,1.4145
685,-0.233371,1.4533
686,-0.0932408,1.43323
687,-0.203684,1.46985
688,-0.336473,1.46458
689,-0.169802,1.44612
690,-0.306439,1.50381
691,-0.134107,1.43238
692,-0.209883,1.44977
693,-0.0940426,1.50685
694,-0.317676,1.50296
695,-0.127192,1.49249
696,-0.186413,1.51161
697,-0.267505,1.47133
698,-0.183677,1.42678
699,-0.306423,1.50009
700,-0.309015,1.42177
701,-0.241266,1.50284
702,-0.160503,1.46087
703,-0.281084,1.49373
704,-0.332903,1.50526
705,-0.343514,1.49176
706,-0.228676,1.46024
707,-0.244395,1.56772
708,-0.282953,1.51925
709,-0.360943,1.50806
710,-0.383903,1.53219
711,-0.128986,1.46349
712,-0.0870267,1.51836
713,-0.30391,1.51412
714,-0.291723,1.5167
715,-0.298449,1.54069
716,-0.211443,1.5637
717,-0.331638,1.55922
718,-0.348975,1.54322
719,-0.186979,1.51472
720,-0.237099,1.5289
721,-0.353076,1.53268
722,-0.203243,1.52343
723,-0.344441,1.57217
724,-0.347632,1.56325
725,-0.231625,1.54611
726,-0.209046,1.56736
727,-0.40846,1.53128
728,-0.471891,1.51723
729,-0.412511,1.52073
730,-0.176186,1.54484
731,-0.28402,1.57012
732,-0.425285,1.52049
733,-0.135142,1.56395
734,-0.214499,1.51001
735,-0.319338,1.53902
736,-0.179318,1.59635
737,-0.247408,1.55914
738,-0.399607,1.56748
739,-0.425737,1.56696
740,-0.239495,1.55269
741,-0.372901,1.571
742,-0.402078,1.57255
743,-0.26516,1.5825
744,-0.392835,1.61401
745,-0.402087,1.57044
746,-0.266659,1.59316
747,-0.410877,1.60809
748,-0.499688,1.62385
749,-0.259541,1.61481
750,-0.253335,1.63123
751,-0.470451,1.63467
752,-0.164421,1.62865
753,-0.299375,1.69936
754,-0.361064,1.59892
755,-0.247687,1.64893
756,-0.277635,1.5994
757,-0.343196,1.6386
758,-0.205594,1.62209
759,-0.263042,1.596
760,-0.239822,1.69109
761,-0.256312,1.6364
762,-0.372322,1.62334
763,-0.181748,1.59653
764,-0.0969621,1.67833
765,-0.334747,1.6278
766,-0.393901,1.61751
767,-0.343478,1.66691
768,-0.179752,1.60541
769,-0.263635,1.64782
770,-0.366743,1.64394
771,-0.424447,1.66286
772,-0.303375,1.69889
773,-0.31733,1.69672
774,-0.367746,1.66534
775,-0.395195,1.7064
776,-0.295265,1.6683
777,-0.381647,1.67951
778,-0.280034,1.67795
779,-0.286586,1.66452
780,-0.344824,1.70775
781,-0.216943,1.68394
782,-0.397832,1.69294
783,-0.213964,1.72889
784,-0.258264,1.73239
785,-0.496578,1.70726
786,-0.212878,1.69764
787,-0.489433,1.70147
788,-0.344567,1.66623
789,-0.218565,1.68237
790,-0.438379,1.71445
791,-0.324743,1.73704
792,-0.391779,1.72589
793,-0.399723,1.6645
794,-0.175304,1.68876
795,-0.261513,1.71881
796,-0.512917,1.74844
797,-0.391135,1.71882
798,-0.447827,1.73963
799,-0.218167,1.75218
800,-0.35149,1.73666
801,-0.344145,1.71451
802,-0.393443,1.76755
803,-0.232706,1.72873
804,-0.307386,1.76249
805,-0.227237,1.74878
806,-0.234935,1.79115
807,-0.353275,1.72751
808,-0.416371,1.68824
809,-0.290652,1.71365
810,-0.413875,1.75697
811,-0.577266,1.76991
812,-0.20184,1.74516
813,-0.330714,1.78889
814,-0.328275,1.71564
815,-0.468896,1.76955
816,-0.429077,1.73069
817,-0.292639,1.78216
818,-0.334151,1.72334
819,-0.271903,1.79065
820,-0.426535,1.72779
821,-0.408132,1.81662
822,-0.433042,1.74748
823,-0.255476,1.76467
824,-0.385147,1.76376
825,-0.287664,1.76726
826,-0.248294,1.77649
827,-0.445403,1.77944
828,-0.301062,1.76378
829,-0.286173,1.77853
830,-0.543918,1.79943
831,-0.391313,1.80225
832,-0.320699,1.76308
833,-0.396297,1.76845
834,-0.626687,1.80219
835,-0.404663,1.8402
836,-0.366773,1.86334
837,-0.478179,1.80296
838,-0.507346,1.78942
839,-0.239939,1.83626
840,-0.426929,1.77815
841,-0.329213,1.83342
842,-0.545204,1.87349
843,-0.356571,1.82887
844,-0.438759,1.80401
845,-0.184394,1.7944
846,-0.224769,1.80368
847,-0.31653,1.82637
848,-0.240131,1.79582
849,-0.452562,1.90648
850,-0.554663,1.8369
851,-0.229147,1.82471
852,-0.244928,1.78691
853,-0.3306,1.81135
854,-0.242356,1.84212
855,-0.441942,1.87956
856,-0.311367,1.85005
857,-0.476807,1.84877
858,-0.354611,1.87025
859,-0.261672,1.85416
860,-0.332008,1.86264
861,-0.463718,1.9023
862,-0.361284,1.85648
863,-0.483312,1.82277
864,-0.241996,1.89735
865,-0.288016,1.84624
866,-0.452729,1.86797
867,-0.45483,1.83737
868,-0.558257,1.78333
869,-0.500309,1.90947
870,-0.492879,1.87182
871,-0.41143,1.88262
872,-0.379084,1.90708
873,-0.409295,1.8805
874,-0.452134,1.86043
875,-0.250366,1.86695
876,-0.388622,1.87351
877,-0.393842,1.90351
878,-0.380807,1.91544
879,-0.412718,1.89366
880,-0.554162,1.90273
881,-0.546541,1.95106
882,-0.417749,1.9084
883,-0.355149,1.9035
884,-0.366487,1.87986
885,-0.320475,1.92481
886,-0.209958,1.88742
887,-0.424013,1.89478
888,-0.38065,1.97172
