distance,delta
0.237666,-0.0111039
0.555793,-0.00891834
0.379038,-0.00403822
0.362455,-0.00307982
0.123276,0.00953632
0.395792,0.00264537
0.137374,-0.0123736
0.331219,0.000812049
0.27316,0.00808958
0.369515,-0.0101397
0.451627,0.00931051
0.211303,-0.0316157
0.436101,-0.00641393
0.149894,0.0141684
0.275396,-0.00195819
0.127138,-0.0177625
0.10129,-0.0075401
0.384101,-0.00910097
0.304284,0.000403576
0.396765,-0.0217652
0.115078,0.00210991
0.354502,0.00487307
0.278592,0.0104703
0.321002,-0.00850184
0.835856,-0.00773075
0.182895,-0.00320718
0.223406,0.00315638
0.0405975,-0.00153497
0.0435576,-0.0123076
0.195419,0.00770553
0.476567,0.00780821
0.331196,-0.0108835
0.474393,-0.0173617
0.053327,0.00136053
0.584414,-0.00628901
0.473496,-0.0125588
0.382674,-0.0232989
0.277911,-0.00447301
0.183561,-0.00387381
0.276373,-0.0107484
0.329195,0.0145547
0.441317,0.0039951
0.442709,-0.0130216
0.56136,0.0089526
0.169288,0.0103993
0.341666,0.0059905
0.184412,0.0187126
0.32043,-0.0157429
0.171244,0.0162563
0.293443,0.0112446
0.647865,-0.0111463
0.402512,0.00373834
0.0741755,0.011762
0.342794,0.00095563
0.268807,-0.0109942
0.138884,0.00955373
0.239496,0.0105041
0.107714,0.00947319
0.260833,-0.0108335
0.535629,-0.000473121
0.446536,-0.0012238
0.0655997,-0.00309969
0.368971,-0.00959633
0.494736,-0.0025489
0.249568,0.000431876
0.421078,-0.0148278
0.397304,-0.00667902
0.15222,-0.00378241
0.334911,-0.00678605
0.326242,0.00969594
0.345814,0.0135607
0.597415,0.0119596
0.727577,-0.00101464
0.206017,0.0127332
0.289213,0.023287
0.531325,-0.0078873
0.193606,0.00170652
0.439192,-0.0173174
0.240154,0.00203342
0.404649,-0.0140244
0.201229,-0.00982242
0.620119,0.00488073
0.221555,-0.0184305
0.0929436,-0.0070061
0.198269,0.00485581
0.0483007,-0.00142573
0.307682,0.004818
0.172571,-0.000696096
0.203936,-0.0086237
0.599809,-0.0216836
0.636745,0.00387984
0.0598275,0.00267253
0.352296,-0.000733995
0.271881,0.0171813
0.173559,0.0139407
0.520972,-0.00534735
0.231988,0.00238674
0.302798,-0.013736
0.213157,0.00559295
0.140184,0.000440508
0.300886,-0.00401125
0.588648,0.00510203
0.185939,-0.00234503
0.359585,-0.00802294
0.266243,-0.0162426
0.185972,-0.00628481
0.0706039,-0.0159164
0.641128,0.00730949
0.0757121,0.0102254
0.209962,0.000975863
0.446376,-0.0166883
0.039505,-0.00825497
0.196295,0.0068296
0.165175,-0.00111202
0.512436,-0.00462391
0.327921,0.00801658
0.531633,0.0152421
0.17444,-0.00256487
0.245721,-0.015252
0.30867,0.00773598
0.317416,-0.00491628
0.119694,0.0131181
0.198201,0.0205491
0.273463,-0.00783828
0.141409,-0.00859623
0.435535,-0.0214722
0.136825,-0.000106661
0.0919415,0.00180853
0.192361,-0.00486112
0.350455,0.00892013
0.116412,0.00468135
0.283955,-0.0339545
0.383538,-0.0163502
0.412339,0.0173486
0.342072,0.00167785
0.257391,0.00042157
0.355594,0.00378094
0.68745,-0.0155752
0.0668674,0.0034451
0.0490287,0.00565883
0.629623,-0.0280601
0.137219,0.00340616
0.488395,-0.0118327
0.107699,-0.0022305
0.092697,-0.00675954
0.404624,0.00162607
0.532665,-0.00922763
0.390305,0.00813216
0.8752,-0.0158252
0.514079,0.00935853
0.143668,-0.00304329
0.338877,-0.00293962
0.100344,-0.00659376
0.277813,0.00343655
0.0849512,-0.0224512
1.18668,-0.0148016
0.233052,-0.0143025
0.589055,-0.0148363
0.0482582,-0.00919569
0.247519,0.0102939
0.315057,-0.0103695
0.192303,0.00300919
0.635635,-0.0106353
0.276961,-0.00352323
0.250014,-1.4174e-05
