distance,delta
3.00715,0.0397204
1.97542,-0.0535409
1.98127,-0.0125224
2.97261,-0.0272944
2.23539,0.0614831
3.41355,-0.0151097
2.44247,-0.0440317
1.84007,-0.0197615
2.22705,-0.023924
2.8629,0.0121027
3.83893,-0.0264262
2.27181,-0.00618267
1.93847,-0.00878029
2.17325,-0.0248152
2.02917,-0.0135455
2.46261,0.0373859
2.73446,-0.0313325
2.53055,-0.0461737
2.25813,0.0621824
4.06696,0.0189776
2.54788,0.0458703
3.16503,-0.040029
2.32903,-0.0165324
2.87348,0.00933015
2.68385,-0.00415884
2.28349,-0.0022383
2.13884,-0.00603
1.91691,-0.00284953
2.39768,-0.0148635
3.65394,-0.0289419
2.98875,-0.0121842
3.2044,0.006533
2.6722,-0.000329773
2.00137,0.0220636
2.33447,-0.0219731
3.3759,0.0147237
2.58636,-0.0160437
2.80382,0.00867558
3.16728,0.0358495
3.09185,0.00190324
2.72269,0.0507511
2.49297,0.0382794
3.95901,-0.0136942
2.37095,0.00405168
3.62634,0.0142815
3.16756,0.0590058
2.67053,0.0247776
3.07278,-0.0102803
3.25213,0.0369331
2.6161,0.0167129
2.58361,0.025764
3.18175,-0.00987581
2.32769,-0.0151899
2.49433,-0.0255806
3.48048,0.0273316
2.83361,-0.00548126
3.16683,0.0519193
2.92861,0.0167069
2.4835,0.0165005
2.24706,-0.0439393
2.47505,0.017133
2.38064,-0.0681404
2.2814,0.00765968
2.60839,0.0244236
2.57229,-0.00197388
2.30213,-0.0208826
2.26601,0.0230515
2.37989,0.0341753
2.11335,-0.0274119
2.79137,-0.00230423
2.64802,0.0082299
3.19866,0.0279011
2.17182,0.00786635
2.83229,0.0192747
3.04245,0.0356716
3.26121,-0.0580825
2.90356,-0.00512501
2.51388,0.00174574
2.66041,0.00364793
2.61111,0.00607521
1.9838,-0.0462957
2.13486,0.0448288
2.59575,-0.0254343
2.72862,0.0135678
3.21812,-0.0306222
3.46742,-0.0299176
2.65972,-0.00346757
2.63409,0.0065396
2.28787,-0.0144365
3.11885,0.00615189
3.29754,-0.0553511
2.38267,0.0157637
1.98282,0.017182
2.46456,-0.0348755
2.04313,0.00374423
2.81228,-0.0154042
2.52932,0.00974525
3.84967,0.0331394
2.09398,-0.0080401
1.96102,-0.0157117
2.99318,0.0302577
2.4687,4.97714e-05
2.34152,0.0256642
3.34315,0.000597925
2.22842,-0.0174807
3.64957,-0.00894513
3.22064,-0.00970171
2.54763,-0.00856687
2.15792,0.0217655
1.81974,-0.0384878
2.0927,-0.0223838
2.27643,0.00482157
3.0557,-0.00882432
4.73414,0.00804967
2.67615,-0.01209
2.60597,0.0112147
2.61692,0.00808332
2.96542,0.0111385
2.22862,-0.00205562
2.61893,0.0216979
2.18012,-0.0238663
3.96199,0.053636
2.82559,0.0337871
2.70143,-0.0295595
2.6501,0.0061534
2.97727,-0.0241453
2.3371,-0.048035
2.55383,-0.0382041
2.30478,-8.93228e-05
2.59044,0.00331105
3.37695,-0.0566396
2.86744,-0.0549373
2.80621,-0.0171435
3.58838,-0.0102592
2.21367,-0.00273576
2.81632,0.0118074
2.93042,-0.0163544
3.16352,0.0396086
2.33653,0.0306601
2.99076,-0.0220114
2.45439,-0.00126061
2.65527,0.0322261
2.00019,-0.0158138
2.82391,0.01984
3.17809,0.0172245
2.5874,-0.00927601
3.33073,-0.00260924
3.39291,-0.0100949
2.89121,-0.0162077
3.43367,0.027272
2.22377,-0.0128316
3.1197,-0.0103256
2.87536,-0.000363402
2.47961,0.0047626
3.0882,0.0133661
2.30027,0.0122285
2.06458,-0.0333258
1.67407,0.0368645
2.62189,0.0109273
2.29494,0.0331845
2.91231,0.0486312
3.1669,0.0205974
1.7175,0.0403152
3.32008,0.0471098
1.99555,-0.042426
2.53992,0.00695295
3.49316,0.0302816
2.843,0.0320045
2.29225,-0.0266263
2.69688,0.00624519
1.54739,-0.0239547
2.29956,-0.010494
3.1002,0.0326151
3.55471,-0.0156442
3.18213,-0.0258796
2.95476,-0.0328821
1.42776,0.00974004
2.34239,-0.00644754
1.81875,-0.0609381
2.40504,-0.0534741
2.4233,0.0298232
3.14949,0.0145687
2.62608,0.0536095
1.95238,-0.00706563
2.16998,-0.0215423
2.74988,-0.0311258
2.52986,0.0091993
2.78195,-0.000703269
2.45709,0.042909
2.58131,-0.0266237
2.16052,-0.0355201
2.93432,0.0109937
2.3612,-0.0174452
2.16271,-0.0142727
2.6246,0.0316474
3.34855,0.0264454
2.6572,0.0459289
2.14154,0.00689952
2.60511,0.0198906
1.77665,-0.0110243
2.81056,0.017561
2.42501,-0.0422014
3.07063,-0.0159394
2.29307,-0.0274419
3.19908,0.0352945
3.40295,0.00329577
2.80688,-0.00218773
3.52895,0.0647969
2.45113,0.00980343
2.65502,0.0324832
1.72426,0.0179291
1.91043,-0.0198045
2.25358,-0.0348329
2.25553,0.0257198
3.50017,-0.0236065
2.9689,-0.0235896
1.90671,0.0229823
1.98098,-0.00441571
2.70948,-0.0141723
2.52191,0.0171532
2.95878,0.017779
3.47417,-0.0210411
3.01907,0.0121779
2.07921,-0.0401464
2.30784,0.0124763
2.81923,0.0713965
2.37914,0.0114844
2.90501,-0.00657645
3.57799,0.0235727
2.99497,-0.0262204
2.47647,0.0157139
2.65522,-0.0145949
2.21806,-0.061808
1.58259,-0.0278998
2.23711,-0.00273472
2.62486,0.00795008
2.9334,0.00409959
3.14768,0.000753133
2.61045,-0.0479463
2.51159,0.0118497
2.42745,-0.0524492
1.79136,-0.0101128
2.30417,0.0161435
1.72977,0.00460703
2.90187,0.0512551
3.27117,0.00227183
3.67632,0.0111776
2.13829,-0.0367309
2.65017,-0.0173596
3.17998,-0.000295926
2.2379,-0.0113387
2.52561,-0.0177952
2.89237,0.00607142
3.83934,-0.0112155
4.40032,-0.00188307
3.21206,-0.0245591
2.22688,-0.00813134
2.25101,-0.0244446
2.52581,-0.0414341
2.18882,-0.00131781
3.51194,-0.0431879
2.58833,-0.0492669
2.24062,0.00156945
2.68173,-0.0254804
3.54742,0.0150783
2.06161,-0.0147359
2.71666,0.00208814
2.30876,-0.0275055
2.15658,0.0309223
2.29991,0.0125869
2.07687,-0.0221781
2.46203,0.0301616
2.73943,-0.0206772
1.95795,0.0107983
2.83614,0.00760953
2.59946,-0.0369639
3.02586,-0.0180437
2.10103,-0.0229071
1.82221,0.0137284
3.77462,0.00662626
1.82872,-0.000597457
2.04022,0.0144715
4.0175,0.00593991
2.9614,0.0151664
3.27423,-0.000794395
2.35534,-0.0115944
2.71004,-0.0225416
3.06091,0.0406511
2.06219,0.00812361
2.6599,0.0588503
3.12075,-0.0348103
2.55376,-0.0303261
2.99758,-0.028834
2.75144,-0.0248776
2.16456,0.0307516
3.19758,0.00554802
2.89977,0.00648058
2.56036,-0.0134848
2.50745,0.0472344
1.93084,0.0613465
3.16194,0.00212203
2.45365,0.0229138
2.15991,0.00415287
1.54363,-0.028005
2.504,0.0116209
2.12734,0.0445302
2.85839,-0.0302658
2.75423,0.0192062
2.92172,0.0157829
3.01592,-0.015916
2.24354,0.0298938
2.53785,0.00902677
2.34397,0.0154073
3.75075,0.0226886
2.38503,-0.0178421
2.38753,0.0187162
2.81715,-0.0280872
2.79391,-0.0126642
2.22408,-0.00533401
2.89856,0.0155015
3.00273,-0.0183536
2.09531,-0.0171846
2.75609,-0.00609233
2.23017,0.0276436
2.77942,-0.0450452
2.72814,-0.0406374
2.57237,0.00575241
1.94148,-0.0274171
2.26604,-0.000418893
2.65269,-0.0120685
3.23811,-0.0349805
3.24736,-0.0129805
3.40959,0.0201003
2.0703,-0.0234213
3.33947,0.012091
3.2477,0.0179268
3.36838,0.0613074
1.8569,0.0259161
2.66489,0.0147948
3.35521,0.0119731
2.95909,-0.00596217
3.90946,0.0358572
2.1632,-0.0382026
2.32773,-0.085546
1.9309,-0.00902059
3.17291,-0.00103399
2.29737,-0.0239289
2.06352,-0.0010156
1.9104,0.0349169
2.88836,0.00226091
2.41933,0.0181748
2.25599,-0.021617
2.3971,0.0404029
2.31422,0.0295271
2.96285,-0.00190836
3.63035,-0.00535249
2.83479,0.0167745
2.82093,-0.000613087
1.99678,-0.00459565
3.19133,0.0196095
2.9418,-0.051176
2.37321,0.0017924
2.69208,0.0266749
3.06614,-0.0270792
2.3442,0.00735943
3.52607,0.00517703
2.72316,-0.0122178
2.22348,-0.0359811
1.38552,-0.0417685
2.86064,-0.0168876
2.03455,-0.0267331
2.60095,-0.0150116
2.22468,-0.00593165
2.55472,-0.0156601
2.65863,-0.00238271
2.32616,0.0254027
2.94141,-0.0195348
3.46038,0.0318109
2.2641,-0.00629046
3.28011,-0.00667183
2.01314,-0.0053243
1.95852,-0.028833
2.48457,0.00761669
2.15594,-0.0153198
2.78072,0.00052713
2.32605,0.00989212
3.76495,-0.0227644
3.06922,0.00108963
2.53263,-0.00137759
2.74667,-0.00448365
2.95671,0.0198561
3.58399,0.0253804
1.91741,0.0122736
2.86235,-0.0264149
2.24627,0.0193536
2.2481,0.0331504
3.04232,-0.00325328
2.8351,0.00865132
2.72148,0.0285209
2.55994,0.0728732
2.88431,-0.0171226
2.87999,-0.0284321
2.73946,-0.00508458
2.51381,-0.0294345
3.3685,-0.00131292
2.82304,-0.0417851
2.70079,0.0257756
2.10597,0.034651
2.78877,-0.0153358
2.85196,-0.0316458
2.12944,0.00337432
2.0266,-0.042224
2.61629,0.0321437
2.15297,-0.0123445
2.19614,-0.016454
2.27571,0.0211684
1.84589,-0.00995499
3.11971,0.0287236
2.27643,0.0126301
2.11874,0.0140703
3.01952,0.00391546
2.89803,-0.0230339
3.98958,-0.0130183
1.63943,0.00119491
3.70111,-0.0292396
2.01512,0.0317569
3.19554,-0.0158548
1.99173,0.0238995
2.19028,-0.0262166
2.07117,0.0225758
1.98241,0.00977926
1.69914,0.0430484
2.42862,-0.0223656
2.43112,-0.0248709
2.35643,0.0185726
2.27982,0.0326778
2.33219,0.0584344
2.49881,0.0168191
3.10708,-0.0211384
2.39438,0.0196823
3.0498,0.0205153
2.91887,-0.0048088
2.50833,0.0385422
3.07063,-0.0159394
2.59189,0.0174859
3.76517,-0.0386124
2.55725,-0.0103786
3.02094,0.0259335
3.48211,0.0647606
3.55576,-0.0166942
2.58434,0.01722
2.15006,-0.0797509
2.73792,0.0198899
3.07375,-0.0190576
2.82715,0.000974196
2.04044,0.0142516
3.13457,0.0294955
2.07638,0.0642476
2.9035,-0.00506681
2.01348,0.0646485
1.68808,-0.000579368
2.60111,-0.01517
2.57726,0.0243041
3.31657,0.00374163
3.04898,0.0291417
2.78943,-0.00817664
2.05659,-0.00190593
3.09101,-0.0207013
2.837,-0.0088774
1.8355,0.0316875
2.78452,-0.0345222
2.44458,-0.00707839
1.65836,-0.01774
2.05651,0.0528679
2.22204,0.020149
4.56671,-0.0120231
2.84488,-0.0245687
2.67647,0.00321554
3.24073,-0.0141675
2.98295,0.0483032
2.68702,0.00829333
3.44817,0.0440223
2.4743,0.00225893
3.09688,0.0359318
2.61063,-0.0168828
2.24938,0.000616182
2.75052,-0.000517278
3.5038,-0.019424
2.89028,-0.00746818
2.94187,0.0659462
2.28372,-0.049341
2.88352,-0.0553962
3.66786,0.00401556
3.19685,-0.0406033
2.91661,0.0286999
2.15788,0.00618655
2.29058,-0.0327703
2.08615,0.062291
1.67941,0.0237115
3.22156,-0.0184348
2.3304,-0.0179026
2.81753,0.0418479
3.46097,-0.0156612
3.15394,0.0569933
3.50801,0.00761056
2.04307,0.0506838
2.64689,0.00154569
2.90118,-0.00274529
2.99212,0.00787519
2.53551,-0.00425829
3.39996,0.00629207
2.74838,-0.0140036
2.10354,0.00583976
3.5198,-0.0354211
1.85018,0.0170124
2.72348,-0.00473239
2.58657,-0.00844629
2.57679,0.016963
2.08783,-0.0175131
1.73021,-0.0114644
2.80901,-0.00432585
2.4285,0.0324336
2.78814,0.0243613
2.42046,-0.0298369
1.74995,0.015676
3.34584,0.036972
1.86622,-0.0146624
2.46803,-0.0461547
2.58502,0.00091384
2.84097,0.00277551
1.83344,-0.0287502
2.96631,-0.028807
2.27232,0.0167412
2.77323,-0.0388527
2.79549,0.00919378
2.53657,0.0181214
2.42921,-0.0307715
3.16581,-0.025188
2.91479,-0.000730074
2.82015,0.0314107
2.69265,-0.00514869
3.00439,0.0112301
1.91151,-0.0208869
3.16546,-0.0326451
1.64304,-0.0102313
2.38186,-0.0615503
2.65906,-0.0184319
2.60134,0.00022504
3.2716,0.0252784
3.18447,-0.0125982
2.94833,-0.0264555
3.11645,0.0241753
3.16165,-0.021021
2.09339,0.0159824
2.27441,0.00683913
2.40132,-0.00288299
2.83685,0.0459592
3.7366,-0.0178477
2.24453,0.0367214
2.32945,-0.00132457
3.14991,0.0610245
3.57414,-0.00382361
2.39951,-0.00107363
2.83695,-0.0400742
1.5554,-0.0319638
3.33817,0.00557855
2.28663,-0.0131876
2.70073,0.0492744
